<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-9.18,15,20180906,100000,107130.0000000,107220.0000000,106700.0000000,107070.0000000,19830
SPFB.RTS-9.18,15,20180906,101500,107080.0000000,107290.0000000,106970.0000000,107160.0000000,12952
SPFB.RTS-9.18,15,20180906,103000,107160.0000000,107260.0000000,107120.0000000,107170.0000000,6844
SPFB.RTS-9.18,15,20180906,104500,107160.0000000,107390.0000000,107060.0000000,107270.0000000,8989
SPFB.RTS-9.18,15,20180906,110000,107270.0000000,107430.0000000,107250.0000000,107410.0000000,6925
SPFB.RTS-9.18,15,20180906,111500,107410.0000000,107470.0000000,107330.0000000,107420.0000000,4569
SPFB.RTS-9.18,15,20180906,113000,107430.0000000,107480.0000000,107340.0000000,107430.0000000,4323
SPFB.RTS-9.18,15,20180906,114500,107440.0000000,107640.0000000,107410.0000000,107550.0000000,10747
SPFB.RTS-9.18,15,20180906,120000,107550.0000000,107860.0000000,107500.0000000,107800.0000000,11136
SPFB.RTS-9.18,15,20180906,121500,107800.0000000,107850.0000000,107760.0000000,107800.0000000,7371
SPFB.RTS-9.18,15,20180906,123000,107810.0000000,107870.0000000,107610.0000000,107610.0000000,7694
SPFB.RTS-9.18,15,20180906,124500,107610.0000000,107700.0000000,107550.0000000,107590.0000000,7271
SPFB.RTS-9.18,15,20180906,130000,107580.0000000,107700.0000000,107560.0000000,107620.0000000,4805
SPFB.RTS-9.18,15,20180906,131500,107630.0000000,107640.0000000,107450.0000000,107480.0000000,5928
SPFB.RTS-9.18,15,20180906,133000,107470.0000000,107620.0000000,107450.0000000,107590.0000000,4367
SPFB.RTS-9.18,15,20180906,134500,107590.0000000,107650.0000000,107510.0000000,107640.0000000,3275
SPFB.RTS-9.18,15,20180906,140000,107640.0000000,107670.0000000,107520.0000000,107560.0000000,2967
SPFB.RTS-9.18,15,20180906,141500,107570.0000000,107640.0000000,107520.0000000,107580.0000000,2859
SPFB.RTS-9.18,15,20180906,143000,107570.0000000,107640.0000000,107570.0000000,107610.0000000,1965
SPFB.RTS-9.18,15,20180906,144500,107610.0000000,107750.0000000,107570.0000000,107700.0000000,3873
SPFB.RTS-9.18,15,20180906,150000,107690.0000000,107750.0000000,107610.0000000,107610.0000000,3380
SPFB.RTS-9.18,15,20180906,151500,107610.0000000,107660.0000000,107530.0000000,107530.0000000,2640
